Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Int,Sk,College/Univ,
140,2013,4,100,Akeem Spence\SpenAk00,DT,21,TAM,2013,2019,0,0,4,25,103,57,,10.5,Illinois,College Stats
141,2013,5,137,Jesse Williams\WillJe02,DT,22,SEA,,,0,0,0,,,,,,Alabama,College Stats
142,2013,5,139,Montori Hughes\HughMo00,DT,23,IND,2013,2016,0,0,0,2,25,1,,,Tenn-Martin,
143,2013,6,198,Chris Jones\JoneCh04,DT,23,HOU,2013,2016,0,0,0,14,41,28,,9.0,Bowling Green,College Stats
144,2013,6,205,Stacy McGee\McGeSt01,DT,23,OAK,2013,2019,0,0,2,16,79,29,,4.5,Oklahoma,College Stats
145,2013,7,223,Nick Williams\WillNi01,DT,23,PIT,2014,2019,0,0,0,7,44,5,,6.0,Samford,
146,2013,7,229,Everett Dawkins\DawkEv00,DT,23,MIN,2013,2013,0,0,0,0,1,0,,,Florida St.,College Stats
147,2013,7,241,Jared Smith\SmitJa02,DT,23,SEA,,,0,0,0,,,,,,New Hampshire,
148,2012,1,11,Dontari Poe\PoexDo00,DT,22,KAN,2012,2019,0,2,8,54,121,118,,20.5,Memphis,College Stats
149,2012,1,12,Fletcher Cox\CoxxFl00,DT,21,PHI,2012,2019,1,5,8,76,125,119,,48.0,Mississippi St.,College Stats
150,2012,1,14,Michael Brockers\BrocMi00,DT,21,STL,2012,2019,0,0,8,48,123,121,,23.0,LSU,College Stats
151,2012,2,36,Derek Wolfe\WolfDe00,DT,22,DEN,2012,2019,0,0,8,46,108,108,1,33.0,Cincinnati,College Stats
152,2012,2,49,Kendall Reyes\ReyeKe00,DT,22,SDG,2012,2016,0,0,3,22,76,50,1,14.5,Connecticut,College Stats
153,2012,2,51,Jerel Worthy\WortJe00,DT,22,GNB,2012,2018,0,0,0,4,40,4,,2.5,Michigan St.,College Stats
154,2012,2,53,Devon Still\StilDe00,DT,23,CIN,2012,2016,0,0,0,3,33,0,,0.5,Penn St.,College Stats
155,2012,3,82,Mike Martin\MartMi01,DT,22,TEN,2012,2015,0,0,0,6,46,5,,4.0,Michigan,College Stats
